日期,代码,名称,收盘,涨跌幅%,成交量,战法信号,买入信号强度,操作建议
2026-01-06,603505,金石资源,19.27,3.27,207592,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601788,光大证券,18.22,2.42,702508,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600513,联环药业,19.49,2.26,193127,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600538,国发股份,6.2,1.97,104324,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002373,千方科技,12.88,8.33,1127772,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600889,南京化纤,18.45,7.27,212251,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603959,百利科技,5.95,4.02,154703,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000532,华金资本,16.33,2.32,171660,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002064,华峰化学,11.34,3.0,614917,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002215,诺 普 信,10.98,1.95,167371,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603997,继峰股份,14.11,1.66,114211,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002654,万润科技,15.08,3.57,760840,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603161,科华控股,13.96,2.27,53681,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600490,鹏欣资源,8.21,3.4,848860,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601865,福莱特,16.45,2.17,219058,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603101,汇嘉时代,10.28,5.01,235992,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000559,万向钱潮,18.09,6.29,4198467,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600958,东方证券,11.43,2.7,1481006,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600399,抚顺特钢,6.19,5.99,1230578,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002129,TCL中环,8.97,2.75,1030125,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600596,新安股份,12.34,6.29,521088,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600135,乐凯胶片,10.51,6.48,966323,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603299,苏盐井神,10.66,2.7,89166,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002918,蒙娜丽莎,14.92,3.61,112026,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603876,鼎胜新材,16.05,6.72,603703,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600846,同济科技,14.32,7.67,123740,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000712,锦龙股份,12.61,3.45,291379,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600773,西藏城投,13.16,4.86,267886,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002357,富临运业,10.92,2.34,219326,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600866,星湖科技,7.13,2.44,376730,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,605162,新中港,8.85,1.84,57843,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601121,宝地矿业,7.62,2.7,186877,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000655,金岭矿业,9.87,1.54,118649,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002797,第一创业,7.16,2.58,1234110,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,605366,宏柏新材,6.44,3.54,151169,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600620,天宸股份,7.16,9.98,205022,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600390,五矿资本,5.81,3.57,793201,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600618,氯碱化工,13.18,10.02,190143,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603113,金能科技,6.26,1.95,136382,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002091,江苏国泰,9.22,2.22,292347,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603877,太平鸟,14.83,1.51,40733,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600703,三安光电,14.86,3.34,1446972,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002258,利尔化学,13.57,3.98,289463,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002855,捷荣技术,16.88,1.75,49313,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603577,汇金通,10.74,1.8,131070,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600556,天下秀,7.01,4.94,3503725,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601696,中银证券,15.67,2.08,1737093,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600983,惠而浦,10.75,9.81,342569,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600851,海欣股份,7.21,2.85,122184,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600359,新农开发,7.28,2.25,113619,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600731,湖南海利,6.99,2.19,75302,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601136,首创证券,19.47,2.53,273853,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600313,农发种业,6.53,1.56,423954,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600271,航天信息,11.96,4.45,1688799,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603105,芯能科技,9.44,1.61,115055,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002355,兴民智通,6.7,10.02,565164,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603885,吉祥航空,15.26,3.32,252098,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601116,三江购物,14.51,3.87,310299,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603023,威帝股份,5.63,9.96,724502,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002165,红 宝 丽,7.94,3.93,641452,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600818,中路股份,9.83,2.08,49823,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603936,博敏电子,13.28,2.39,798089,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002203,海亮股份,13.13,2.5,347286,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002340,格林美,8.64,2.49,2418034,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600075,新疆天业,5.47,10.06,722608,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002453,华软科技,6.42,1.74,245648,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000016,深康佳Ａ,5.14,1.98,513556,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600338,西藏珠峰,15.93,3.85,790329,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000949,新乡化纤,5.98,9.93,869655,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600151,航天机电,19.71,2.07,3565556,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000612,焦作万方,11.89,5.04,965936,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601990,南京证券,8.2,2.5,546867,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,002926,华西证券,9.55,2.58,451469,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,000528,柳    工,12.33,2.66,581395,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600295,鄂尔多斯,14.3,10.0,344013,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603000,人民网,19.9,2.05,251166,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600530,交大昂立,6.58,2.17,94067,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,603300,海南华铁,7.83,2.76,1455867,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600918,中泰证券,6.75,2.12,650417,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,600901,江苏金租,6.31,2.6,395454,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
2026-01-06,601566,九牧王,13.35,1.68,326759,量增价涨,90%,健康拉升：主力推高，理想加仓/持有点。
