code,最新价,涨跌幅,强度,建议,战法理由,名称
601155,14.8,1.93%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,新城控股
603022,10.51,0.0%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,新通联
603001,8.78,0.23%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,奥康国际
688410,15.77,-1.0%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,山外山
002416,12.72,1.03%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,爱施德
002099,6.51,1.24%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,海翔药业
002681,6.83,0.89%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,奋达科技
603730,8.74,1.51%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,岱美股份
002611,19.51,2.36%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,东方精工
603108,15.71,-0.7%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,润达医疗
002875,17.47,-0.74%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,安奈儿
600517,6.27,1.95%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,国网英大
002161,7.68,2.26%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,远 望 谷
600901,6.31,2.6%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,江苏金租
000672,13.21,1.15%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,上峰水泥
600115,6.13,1.32%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,中国东航
688425,5.26,1.94%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,铁建重工
688620,12.61,-0.24%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,安凯微
600713,5.6,1.45%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,南京医药
002243,10.86,1.02%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,力合科创
600927,16.26,1.56%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,永安期货
002376,7.81,1.03%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,新北洋
600029,8.09,0.12%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,南方航空
002299,16.77,0.84%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,圣农发展
600637,10.01,1.42%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,东方明珠
000892,7.29,0.0%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,欢瑞世纪
002659,6.2,2.99%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,凯文教育
002221,8.22,1.36%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,东华能源
002522,5.86,2.81%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,浙江众成
002279,8.29,0.73%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,久其软件
688225,19.56,-0.05%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,亚信安全
601061,15.29,1.33%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,中信金属
688315,14.06,0.43%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,诺禾致源
600198,9.76,2.31%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,大唐电信
002739,11.41,0.0%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,万达电影
603206,17.35,0.58%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,嘉环科技
000680,12.45,1.47%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,山推股份
600969,10.36,0.78%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,郴电国际
000881,9.16,1.55%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,中广核技
603025,18.31,0.94%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,大豪科技
002206,6.14,0.0%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,海 利 得
002995,17.61,1.32%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,天地在线
600028,6.18,1.48%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,中国石化
000655,9.87,1.54%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,金岭矿业
002292,9.42,2.17%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,奥飞娱乐
601121,7.62,2.7%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,宝地矿业
601611,13.99,0.07%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,中国核建
002634,5.76,-0.17%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,棒杰股份
002075,5.78,1.23%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,沙钢股份
600872,17.95,0.73%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,中炬高新
600110,7.44,0.27%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,诺德股份
002878,18.79,0.86%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,元隆雅图
000156,7.79,0.39%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,华数传媒
600602,19.06,1.33%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,云赛智联
605336,16.29,1.62%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,帅丰电器
601019,8.93,0.68%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,山东出版
600335,6.55,1.08%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,国机汽车
002283,6.3,0.32%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,天润工业
002237,14.16,2.61%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,恒邦股份
000678,15.42,2.66%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,襄阳轴承
600860,12.58,1.37%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,京城股份
002583,11.71,1.47%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,海能达
600382,7.33,0.41%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,广东明珠
002540,7.14,1.42%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,亚太科技
600452,9.58,0.74%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,涪陵电力
002382,5.82,1.39%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,蓝帆医疗
603050,18.76,0.0%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,科林电气
688009,5.57,1.09%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,中国通号
000859,11.31,1.62%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,国风新材
688697,15.72,0.77%,70,【初步转强】轻仓观察，确认站稳长线,长线走平+三位一体金叉,纽威数控
